key,id,label_et,label_en,parent_key,type,lat,lon,source,geonames_id,notes
Goslar,,,,,,51.9059936,10.4266284,nominatim,,"nominatim: Goslar, Landkreis Goslar, Lower Saxony, Germany"
Herzberg (Elster),,,,,,51.6924078,13.2358585,nominatim,,"nominatim: Herzberg (Elster), Elbe-Elster, Brandenburg, Germany"
Savolax and Karelia County,Q3277084,,Savolax and Karelia County,,,62.0,28.0,manual,,manual: Savo/Savolaks/Savolax representative point N 62°00′ E 28°00′
Stockholmi kuningaloss,,,,,,59.3268648,18.0703216,nominatim,,"nominatim: Royal Palace, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholm Municipality, Stockholm County, 111 30, Sweden"
Arboga,,Arboga,Arboga,Västmanland,city,59.3941870,15.8396643,nominatim,,"nominatim: Arboga, Arboga kommun, Västmanland County, 732 30, Sweden"
Bad Lauchstädt,,Bad Lauchstädt,Bad Lauchstädt,Sachsen,city,51.3874297,11.8679537,nominatim,,"nominatim: Goethestadt Bad Lauchstädt, Saalekreis, Saxony-Anhalt, 06246, Germany"
Bad Windsheim,,Bad Windsheim,Bad Windsheim,,city,49.5023191,10.4175898,nominatim,,"nominatim: Bad Windsheim, Landkreis Neustadt an der Aisch-Bad Windsheim, Bavaria, 91438, Germany"
Berlin,,Berliin,Berlin,Brandenburg,city,52.5162699,13.3777034,nominatim,,"nominatim: Brandenburg Gate, 1, Pariser Platz, Friedrich-Wilhelm-Stadt, Mitte, Berlin, 10117, Germany"
Brahelinna,,Brahelinna,Brahestad,Finnland,city,64.6845313,24.4816349,nominatim,,"nominatim: Raahe, Raahe sub-region, North Ostrobothnia, Mainland Finland, Finland"
Dobra,,Dobra,Dobra,Pommern,city,45.916667,22.566667,manual,,"manual: Dobra historical region, Hunedoara/Transylvania, 45°55′N 22°34′E"
Eckernförde,,Eckernförde,Eckernförde,,city,54.4716456,9.8374947,nominatim,,"nominatim: Eckernförde, Kreis Rendsburg-Eckernförde, Schleswig-Holstein, 24340, Germany"
Halle,,Halle,Halle,Sachsen,city,51.4824354,11.9712985,nominatim,,"nominatim: Halle (Saale), Saxony-Anhalt, Germany"
Herzberg,,Herzberg (Elster),Herzberg (Elster),Brandenburg,city,51.6924078,13.2358585,nominatim,,"nominatim: Herzberg (Elster), Elbe-Elster, Brandenburg, Germany"
Hudiksvall,,Hudiksvall,Hudiksvall,Hälsingland,city,61.7436725,17.0892720,nominatim,,"nominatim: Fordonscenter Hälsingland, Tunavägen, Överås, Hudiksvall, Hudiksvalls kommun, Gävleborg County, 824 34, Sweden"
Lützen,,Lützen,Lützen,Sachsen,city,51.2585623,12.1459521,nominatim,,"nominatim: Lützen, Burgenlandkreis, Saxony-Anhalt, 06686, Germany"
Mariestad,,Mariestad,Mariestad,Västergötland,city,58.7093225,13.8228754,nominatim,,"label-only: Mariestad, Mariestads kommun, Västra Götaland County, Sweden"
Nöteborg,,Nöteborg,Nöteborg,Ingermanland,city,59.9404310,31.0336955,nominatim,,"label-only: Shlisselburg / Nöteborg, Leningrad Oblast, Russia"
Rappoltsweiler,,Rappoltsweiler,Ribeauvillé,,city,48.1924602,7.3248871,nominatim,,"nominatim: Ribeauvillé, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, Metropolitan France, 68150, France"
Rathenow,,Rathenow,Rathenow,Brandenburg,city,52.6063703,12.3382259,nominatim,,"nominatim: Rathenow, Havelland, Brandenburg, 14712, Germany"
Strelitz-Alt,,Alt Strelitz,Alt Strelitz,,city,53.3326545,13.0943041,nominatim,,"nominatim: Strelitz-Alt, Neustrelitz, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17235, Germany"
Strängnäs,,Strängnäs,Strängnäs,Södermanland,city,59.3763155,17.0268194,nominatim,,"nominatim: Strängnäs, Strängnäs kommun, Södermanland County, 645 31, Sweden"
Umeå,,Umeå,Umeå,Västerbotten,city,63.8256568,20.2630745,nominatim,,"nominatim: Umeå, Umeå kommun, Västerbotten County, Sweden"
Wenden,,Cēsis,Cēsis,Livland,city,57.3131712,25.2748551,nominatim,,"label-only: Cēsis, Latvia"
Wettin,,Wettin,Wettin,Sachsen,city,51.5875800,11.8019834,nominatim,,"nominatim: Wettin, Wettin-Löbejün, Saalekreis, Saxony-Anhalt, Germany"
Örebro,,Örebro,Örebro,Närke,city,59.1947755,15.2247750,nominatim,,"nominatim: Närke slakteri, T 681, Attersta, Örebro kommun, Örebro County, 705 94, Sweden"
Brandenburg,,Brandenburg,Brandenburg,,historical_region,52.8455492,13.2461296,nominatim,,"nominatim: Brandenburg, Germany"
